Browse,Brskaj
For navcore 7.8x devices and above (cspeech/ASR/TTS/vocalizer only),Za naprave z navcorom 7.8x ali višje (cspeech/ASR/TTS/vokalizator)
For navcore 7.8x devices and above (none included),Za naprave z navcorom 7.8x ali višje (ničesar vključeno)
For navcore 7.8x devices and above (TTS only),Za naprave z navcorom 7.8x ali višje (samo TTS)
For navcore 8.2x devices and above (IQroutes/ALG/TTS/vocalizer only),Za naprave z navcorom 8.2x (IQroutes/ALG/TTS/vokalizator)
For navcore 9.x devices,Za naprave z navcorom 9.x
For navcore 9.x devices (no ASR),Za naprave z navcorom 9.x (brez ASR)
For truck navcore 9.x devices,Za naprave z navcorom 9.x za Tovornjak
For NAV3 and navcore 9.x devices,Za naprave NAV3 in navcore 9.x
For Mazda NB1 and navcore 9.x devices,Za Mazda navcore NB1 in naprave z navcorom 9.x
For NAV3 and navcore 9.x devices (no ASR),Za naprave NAV3 in navcore 9.x (brez ASR)
For Renault R-Link and navcore 9.x devices,Za Renault R-Link in naprave z navcorom 9.x
"A new version of TTActivator ({0}) is available, would you like to update now?","Na voljo je nova verzija TTActivatorja ({0}), ali ga želiti posodobiti?"
"An error occurred while downloading the update:
{0}","Napaka pri prenosu:
{0}"
"TTActivator has downloaded the latest version to:
{0}

Please close TTActivator and then extract/replace the old version.","TTActivator je prenesel zadnjo posodobitev v:
{0}

Prosimo zaprite TTActivator nato ga ekstrahirajte ter zamenjajte staro verzijo."
"QuickGPSFix Expiry: ","QuickGPSFix poteče: "
GPS Chipset,GPS Chipset
Activated,Aktivirano
Not Activated,Ni aktivirano
Missing Meta/Blowfish,Manjkajoča Meta koda/Blowfish
No Activation Needed,Aktivacija ni potrebna
Please wait...,Prosimo počakajte...
QuickGPSFix files updated successfully!,QuickGPSFix uspešno posodobljen!
"An error occurred while downloading or installing the QuickGPSFix files.

{0}","Napaka pri prenosu ali instalaciji QuickGPSFix-a.

{0}"
Update QuickGPSFix,Posodobi QuickGPSFix
The meta code specified for this content {0}is not correct.,Meta koda za to vsebino {0}ni pravilna
"An error occurred while activating '{0}':

{1}","Napaka pri aktivaciji '{0}':

{1}"
{0} item(s) activated successfully!,{0} datotek je uspešno aktiviranih!
Navcore has been patched successfully!,Navcore je bil uspešno aktiviran
"Navcore patch failed, it might already be patched!","Aktiviranje navcora neuspešno, morda je že bil aktiviran!"
"An error occurred during patching:

{0}","Napaka pri aktivaciji navcora:

{0}"
Meta has been updated successfully!,Meta kode so bile uspešno posodobljene!
An unknown error occurred while updating meta.,Nepričakovana napaka med posodobitvijo Meta kod.
"An error occurred while downloading the selected map.

{0}","Napaka pri prenosu izbranega zemljevida.

{0}"
"

Also, remember to go to 'Installed Content' and activate the new map.","

Sedaj pojdi v ""Nameščeno vsebino"" in aktiviraj zemljevid!"
"Obtaining links for selected map, please wait...","Pridobivanje povezave za izbran zemljevid, prosimo počakajte.."
An error occurred while downloading the selected map. Ensure you are connected to the internet and that the map configuration you have chosen is valid.,Napaka pri prenosu izbranega zemljevida. Preverite internetno povezavo in ali je konfiguracija izbranega zemljevida pravilna.
{0} v{1} ({2}) requires {3} of space. {4}. Do you wish to continue?,{0} v{1} ({2}) zahteva {3} prostora. {4}. Želite nadaljevati?
"Also, this map currently does not have a meta code available and cannot be activated in TTActivator","Žal za ta zemljevid Meta kode še ni na voljo, zato ga trenutno še ni mogoče aktivirati!"
"If you intend to activate this map, make sure a meta code for it exists","Če želite aktivirati ta zemljevid, poskrbite da bo Meta koda na voljo!"
"Also, good news, TTActivator is able to activate this map",Še dobra novica - TTActivator lahko aktivira ta zemljevid!
"Map has been successfully downloaded:

","Prenos Zemljevida je bil uspešno končan:

"
Map has been successfully downloaded: {0}{1},Prenos Zemljevida je bil uspešno končan: {0}{1}
"Extracting, please wait...","Ekstrahiranje, prosimo počakajte..."
Downloading,Prenos
"TTActivator was unable to recognise the following maps, they may require manual installation of safety cameras:
 - {0}","TTActivator ne prepozna zemljevidov, kateri morda potrebujejo ročno inštalacijo radarjev:
 - {0}"
An error occurred while downloading the safety cameras: {0},Napaka pri prenosu Radarjev: {0}
All safety cameras have been successfully installed and activated.,Vsi Radarji so bili uspešno nameščeni in aktivirani!
"Safety cameras have been downloaded, please manually extract the files to the matching map folders and activate using TTActivator.

","Radarji so bili uspešno prenešeni. Prosimo da jih ekstrahirate v kompatibilno mapo in jih aktivirate z TTActivatorjem.

"
Select the folder for the TT device:,Izberi mapo za TT napravo
Are you sure you want to disable auto-extract? This means that downloaded maps will stay as a *.zip or *.ttpkg file.,"Ste prepričani da želite onemogočiti Avtomatično ekstrahiranje? To pomeni, da bodo prenešeni zemljevidi ostali v formatu *.zip ali *.ttpkg formatu."
An error occurred while downloading the zipcodes. Ensure you are connected to the internet and that the map version entered is valid.,Napaka pri prenosu Poštnih številk/Zipkod. Preverite vašo internetno povezavo ter da je izbran zemljevid veljaven!
Postcode files have been installed successfully!,Poštne številke/Zipkode so bile uspešno nameščene!
An error occurred while downloading or installing the postcode files.,Napaka pri prenosu oz. inštalaciji Poštnih številk/Zipkod
RDS-TMC configuration installed successfully!,RDS-TMC konfiguracija uspešno nameščena!
An error occurred while saving the RDS-TMC configuration.,Napaka pri shranjevanju RDS-TMC konfiguracije.
RDS-TMC configuration saved successfully!,RDS-TMC konfiguracija uspešno shranjena!
{0} item(s) available for activation.,{0} datotek je na voljo za aktivacijo!
Can't be activated because blowfish/meta is code missing.,"Aktivacija ni možna, manjka blowfish/Meta koda"
Equivalent Meta Available,Na voljo enakovredna Meta
Unable to obtain the latest QuickGPSFix files from the TomTom server.,Najnovejših datotek QuickGPSFix ni mogoče pridobiti s strežnika TomTom.
QuickGPSFix files have installed successfully!,QuickGPSFix datoteke so uspešno nameščen!
Select a folder to download the safety cameras to:,Izberite mapo za prenos varnostnih kamer na:
All safety cameras have been successfully downloaded.,Vse varnostne kamere so bile uspešno prenesene.
Your device has an unsupported navcore version. You must have one of the following versions installed:,Naprava ima nepodprto različico navcore. Ti morajo imeti eno od naslednjih različic nameščenih:
"Connecting to device, please wait...","Povezovanje z napravo, počakajte..."
Could not establish a connection to the device. Make sure that it is connected to your PC.,"Ni bilo mogoče vzpostaviti povezavo z napravo. Prepričajte se, da je povezan z računalnikom."
The following processes are connected to the device. Please close them before continuing:,Naslednji postopki so priključeni na napravo. Zaprite jih pred nadaljevanjem:
"Triggering device, please wait...","Sprožitev naprava, počakajte..."
The device did not respond to the trigger in a timely manner. Please check your device connection.,Naprava se na sprožilec ni odzvala pravočasno. Preverite povezavo naprave.
"Job list has been uploaded to the device, waiting for files to be requested...","Seznam opravil je bil naložen v napravo in čaka, da se zahtevajo datoteke..."
<Unknown>,<Neznano>
Uploading:,Nalaganje:
Installing:,Namestitev:
"Jobs have completed, waiting for device to finish everything...","Dela so končana, čakajo, da naprava vse konča..."
"Validating packages, please wait...","Preverjanje paketov, počakajte..."
The following packages appear to be corrupted and are likely to fail during installation. Do you want to continue anyway? (not recommended),Naslednji paketi se zdijo poškodovani in med namestitvijo verjetno ne bodo uspeli. Ali vseeno želite nadaljevati? (ni priporočljivo)
"The following packages appear to be incomplete. If multiple parts exist, please make sure to select all of them together at the same time. Do you want to continue anyway? (not recommended)","Naslednji paketi se zdijo nepopolni. Če obstaja več delov, ne pozabite izbrati vseh skupaj hkrati. Ali vseeno želite nadaljevati? (ni priporočljivo)"
There is not enough space present on the device to install the specified content.,Na napravi ni dovolj prostora za namestitev navedene vsebine.
The following packages caused an error:,Naslednji paketi so povzročili napako:
Message:,Sporočilo:
The device reports that only {0} of free space is available.,"Naprava poroča, da je na voljo le {0} prostega prostora."
An unexpected error occurred while preparing the package files.,Med pripravo datotek paketov se je pojavila nepričakovana napaka.
Please make sure the files are not in use by another program.,"Prepričajte se, da datotek ne uporablja drug program."
Please make sure that your internet connection is working properly.,"Prepričajte se, da vaša internetna povezava deluje pravilno."
The patch has been installed successfully.,Obliž je bil uspešno nameščen.
The patch has been removed from the device.,Obliž je bil odstranjen iz naprave.
The maps have been removed from the device's internal memory.,Zemljevidi iz notranjega pomnilnika naprave so bili odstranjeni.
The map kind/generation you have selected is not compatible with this device.,Izbrana vrsta / generacija zemljevidov ni združljiva s to napravo.
The map has been successfully installed to the device.,Zemljevid je bil uspešno nameščen v napravo.
The temporary files for this map are still present on the machine. Do you want to keep them to attempt re-installation later?,"Začasne datoteke tega zemljevida so še vedno prisotne na napravi. Ali jih želite obdržati, da pozneje poskusijo znova namestiti?"
This will delete all maps stored in your device's internal memory along with the navcore patch. You will need to reapply the patch again afterwards. Are you sure you wish to continue?,"Tako bodo izbrisani vsi zemljevidi, shranjeni v notranjem pomnilniku vaše naprave, skupaj z oblikom navcore. Nato boste morali obliž ponovno uporabiti. Ali ste prepričani, da želite nadaljevati?"
All safety cameras have been successfully installed.,Vse varnostne kamere so uspešno nameščene.
Remember to upload the latest meta and then reboot your device from the 'NAV3 Tools' menu to automatically activate the map.,"Ne pozabite naložiti najnovejše meta in nato ponovno zagnati napravo iz menija 'Orodja NAV3', da samodejno aktivirate zemljevid."
Meta has been uploaded successfully to the device.,Meta je bil uspešno naložen v napravo.
The standard patch activates content each time the device is rebooted using a built-in keygen. All that is required is an up-to-date meta file to be uploaded to the device.,"Standardni obliž aktivira vsebino vsakič, ko se naprava znova zažene z vgrajenim ključem. Vse, kar je potrebno, je posodobljena meta datoteka, ki jo želite naložiti v napravo."
"The truck patch is the same as the standard patch, but it will also unlock heavy vehicle types such as truck or bus when using a TRUCK map.","Obliž za tovornjake je enak kot standardni obliž, vendar bo ob uporabi zemljevida TRUCK odklenil tudi težka vozila, kot sta tovornjak ali avtobus."
TTActivator could not start the local server. Please accept the 'User Account Control' prompt or run TTActivator as an administrator.,TTActivator ni mogel zagnati lokalnega strežnika. Sprejmite pogovorno okno »Nadzor uporabniških računov« ali zaženite TTActivator kot skrbnik.
RDS-TMC Configuration,Konfiguracija RDS-TMC
Expired,Poteklo
No safety cameras could be found from the TT server.,Na TT strežniku ni bilo mogoče najti varnostnih kamer.
This will delete all safety cameras (including licenses) from your device's internal memory. Do you wish to continue?,S tem bodo izbrisane vse varnostne kamere (vključno z licencami) iz notranjega pomnilnika vaše naprave. Ali želite nadaljevati?
The safety cameras have been removed from the device's internal memory.,Varnostne kamere so bile odstranjene iz notranjega pomnilnika naprave.
For NAV3 and navcore 9.x devices (no cspeech),Za naprave NAV3 in navcore 9.x (brez cspeech-a)
The device is currently busy. Please try again in a few moments.,Naprava je trenutno zasedena. Poskusite znova čez nekaj trenutkov.
TTActivator was unable to find a meta code on the device that matched the details you provided.,"TTActivator ni uspel najti meta kode na napravi, ki bi se ujemala s podrobnostmi, ki ste jih navedli."
