Browse,Suchen
Navcore has been patched successfully!,Navcore wurde erfolgreich gepatcht!
"Navcore patch failed, it might already be patched!","Navcore-Patch fehlgeschlagen, es könnte bereits schon gepatcht sein!"
"An error occurred during patching:

{0}","Beim Patchen ist ein Fehler aufgetreten:

{0}"
Meta has been updated successfully!,Meta wurde erfolgreich aktualisiert!
An unknown error occurred while updating meta.,Beim Aktualisieren der Meta ist ein unbekannter Fehler aufgetreten.
"An error occurred while downloading the selected map.

{0}","Beim Herunterladen der ausgewählten Karte ist ein Fehler aufgetreten.

{0}"
"

Also, remember to go to 'Installed Content' and activate the new map.","

Denken Sie auch daran, zu ""Installierter Inhalt"" zu gehen und die neue Karte zu aktivieren."
"Obtaining links for selected map, please wait...","Es wirden Links für ausgewählte Karte erhalten, warten Sie bitte..."
An error occurred while downloading the selected map. Ensure you are connected to the internet and that the map configuration you have chosen is valid.,"Beim Herunterladen der ausgewählten Karte ist ein Fehler aufgetreten. Stellen Sie sicher, dass Sie mit dem Internet verbunden sind und dass die von Ihnen gewählte Kartenkonfiguration gültig ist"
{0} v{1} ({2}) requires {3} of space. {4}. Do you wish to continue?,{0} v{1} ({2}) braucht {3} Platz. {4}. Möchten Sie fortfahren?
"Also, this map currently does not have a meta code available and cannot be activated in TTActivator",Außerdem ist für diese Karte derzeit kein Metacode verfügbar und kann in TTActivator nicht aktiviert werden
"If you intend to activate this map, make sure a meta code for it exists","Wenn Sie diese Karte aktivieren möchten, stellen Sie sicher, dass ein Metacode dafür vorhanden ist"
"Also, good news, TTActivator is able to activate this map","Auch, gute Nachrichten, TTActivator ist in der Lage, diese Karte zu aktivieren"
"Map has been successfully downloaded:

","Die Karte wurde erfolgreich heruntergeladen:

"
Map has been successfully downloaded: {0}{1},Die Karte wurde erfolgreich heruntergeladen: {0}{1}
"Extracting, please wait...","Extrahieren, bitte warten…"
Downloading,Herunterladen
"TTActivator was unable to recognise the following maps, they may require manual installation of safety cameras:
 - {0}","TTActivator konnte die folgenden Karten nicht erkennen, sie können die manuelle Installation von Sicherheitskameras erfordern:
 - {0}"
An error occurred while downloading the safety cameras: {0},Beim Herunterladen der Sicherheitskameras ist ein Fehler aufgetreten: {0}
All safety cameras have been successfully installed and activated.,Alle Sicherheitskameras wurden erfolgreich installiert und aktiviert
"Safety cameras have been downloaded, please manually extract the files to the matching map folders and activate using TTActivator.

","Sicherheitskameras wurden heruntergeladen, die Dateien bitte manuell in die passenden Kartenordner extrahieren und mit TTActivator aktivieren.

"
Select the folder for the TT device:,Wählen Sie den Ordner für das TT-Gerät aus:
Are you sure you want to disable auto-extract? This means that downloaded maps will stay as a *.zip or *.ttpkg file.,"Möchten Sie den automatischen Extrakt wirklich deaktivieren? Dies bedeutet, dass heruntergeladene Karten als *.zip- oder *.ttpkg-Datei bleiben."
An error occurred while downloading the zipcodes. Ensure you are connected to the internet and that the map version entered is valid.,"Beim Herunterladen der Postleitzahlen ist ein Fehler aufgetreten. Stellen Sie sicher, dass Sie mit dem Internet verbunden sind und dass die eingegebene Kartenversion gültig ist."
Postcode files have been installed successfully!,Postleitzahlendateien wurden erfolgreich installiert!
An error occurred while downloading or installing the postcode files.,Beim Herunterladen oder Installieren der Postleitzahlendateien ist ein Fehler aufgetreten.
RDS-TMC configuration installed successfully!,RDS-TMC-Konfiguration erfolgreich installiert!
An error occurred while saving the RDS-TMC configuration.,Beim Speichern der RDS-TMC-Konfiguration ist ein Fehler aufgetreten.
RDS-TMC configuration saved successfully!,RDS-TMC-Konfiguration erfolgreich gespeichert!
{0} item(s) available for activation.,{0} Artikel(en) für die Aktivierung verfügbar.
Can't be activated because blowfish/meta is code missing.,"Kann nicht aktiviert werden, da Blowfish/Meta fehlt."
Equivalent Meta Available,Äquivalenter Meta-Eintrag verfügbar
Unable to obtain the latest QuickGPSFix files from the TomTom server.,Die neuesten QuickGPSFix-Dateien können nicht vom TomTom-Server abgerufen werden.
QuickGPSFix files have installed successfully!,QuickGPSFix-Dateien wurden erfolgreich installiert!
Select a folder to download the safety cameras to:,"Wählen Sie einen Ordner aus, in den Sie die Blitzer herunterladen möchten:"
All safety cameras have been successfully downloaded.,Alle Blitzer wurden erfolgreich heruntergeladen.
Your device has an unsupported navcore version. You must have one of the following versions installed:,Ihr Gerät verfügt über eine nicht unterstützte Navcore-Version. Sie müssen eine der folgenden Versionen installiert haben:
"Connecting to device, please wait...","Verbindung zum Gerät wird hergestellt, bitte warten..."
Could not establish a connection to the device. Make sure that it is connected to your PC.,"Es konnte keine Verbindung zum Gerät hergestellt werden. Stellen Sie sicher, dass es an Ihren PC angeschlossen ist."
The following processes are connected to the device. Please close them before continuing:,"Die folgenden Prozesse sind mit dem Gerät verbunden. Bitte schließen Sie sie, bevor Sie fortfahren:"
"Triggering device, please wait...","Auslösen des Geräts, bitte warten..."
The device did not respond to the trigger in a timely manner. Please check your device connection.,Das Gerät reagierte nicht rechtzeitig. Bitte überprüfen Sie Ihre Geräteverbindung.
"Job list has been uploaded to the device, waiting for files to be requested...","Die Jobliste wurde auf das Gerät hochgeladen und wartet darauf, dass Dateien angefordert werden..."
<Unknown>,<Unbekannt>
Uploading:,Hochladen:
Installing:,Installieren:
"Jobs have completed, waiting for device to finish everything...","Die Jobs sind abgeschlossen und warten darauf, dass das Gerät alles beendet..."
"Validating packages, please wait...","Pakete werden validiert, bitte warten..."
The following packages appear to be corrupted and are likely to fail during installation. Do you want to continue anyway? (not recommended),Die folgenden Pakete scheinen beschädigt zu sein und schlagen wahrscheinlich während der Installation fehl. Möchtest du trotzdem weitermachen? (nicht empfohlen)
"The following packages appear to be incomplete. If multiple parts exist, please make sure to select all of them together at the same time. Do you want to continue anyway? (not recommended)","Die folgenden Pakete scheinen unvollständig zu sein. Wenn mehrere Teile vorhanden sind, stellen Sie bitte sicher, diese alle gleichzeitig zu markieren/auszuwählen. Möchtest du trotzdem weitermachen? (nicht empfohlen)"
There is not enough space present on the device to install the specified content.,"Auf dem Gerät ist nicht genügend Speicherplatz vorhanden, um den angegebenen Inhalt zu installieren."
The following packages caused an error:,Die folgenden Pakete haben einen Fehler verursacht:
Message:,Hinweis:
The device reports that only {0} of free space is available.,"Das Gerät meldet, dass nur {0} freier Speicherplatz verfügbar sind."
An unexpected error occurred while preparing the package files.,Beim Vorbereiten der Paketdateien ist ein unerwarteter Fehler aufgetreten.
Please make sure the files are not in use by another program.,"Bitte stellen Sie sicher, dass die Dateien nicht von einem anderen Programm verwendet werden."
Please make sure that your internet connection is working properly.,"Bitte stellen Sie sicher, dass Ihre Internetverbindung ordnungsgemäß funktioniert."
The patch has been installed successfully.,Der Patch wurde erfolgreich installiert.
The patch has been removed from the device.,Der Patch wurde vom Gerät entfernt.
The maps have been removed from the device's internal memory.,Die Karten aus dem internen Speicher des Gerätes wurden entfernt.
The map kind/generation you have selected is not compatible with this device.,Die von Ihnen ausgewählte Kartenart / -generation ist mit diesem Gerät nicht kompatibel.
The map has been successfully installed to the device.,Die Karte wurde erfolgreich auf dem Gerät installiert.
The temporary files for this map are still present on the machine. Do you want to keep them to attempt re-installation later?,"Die temporären Dateien für diese Karte sind noch auf dem Computer vorhanden. Möchten Sie sie behalten, um später eine Neuinstallation zu versuchen?"
This will delete all maps stored in your device's internal memory along with the navcore patch. You will need to reapply the patch again afterwards. Are you sure you wish to continue?,"Dadurch werden alle im internen Speicher Ihres Geräts gespeicherten Karten zusammen mit dem Navcore-Patch gelöscht. Sie müssen den Patch anschließend erneut anwenden. Sind Sie sicher, dass Sie fortfahren möchten?"
All safety cameras have been successfully installed.,Alle Blitzer wurden erfolgreich installiert.
Remember to upload the latest meta and then reboot your device from the 'NAV3 Tools' menu to automatically activate the map.,"Denken Sie daran, die neueste Meta.txt über Tools ""Update Meta"" herunterzuladen und Ihr Gerät dann über das Menü 'NAV3 Tools' neu zu starten, um die Karte automatisch zu aktivieren."
Meta has been uploaded successfully to the device.,Meta.txt wurde erfolgreich auf das Gerät hochgeladen.
The standard patch activates content each time the device is rebooted using a built-in keygen. All that is required is an up-to-date meta file to be uploaded to the device.,"Der Standard-Patch aktiviert den Inhalt jedes Mal, wenn das Gerät mit einem integrierten Keygen neu gestartet wird. Alles, was benötigt wird, ist eine aktuelle Meta.txt Datei, die auf das Gerät hochgeladen werden kann."
"The truck patch is the same as the standard patch, but it will also unlock heavy vehicle types such as truck or bus when using a TRUCK map.","Der LKW-Patch ist der gleiche wie der Standard-Patch, entsperrt jedoch auch Fahrzeugtypen wie LKW oder Bus, wenn eine LKW-Karte verwendet wird."
TTActivator could not start the local server. Please accept the 'User Account Control' prompt or run TTActivator as an administrator.,"TTActivator konnte den lokalen Server nicht starten. Bitte akzeptieren Sie das Dialogfeld ""Benutzerkontensteuerung"" oder führen Sie TTActivator als Administrator aus."
RDS-TMC Configuration,RDS-TMC-Konfiguration
Expired,Abgelaufen
No safety cameras could be found from the TT server.,Es konnten keine Blitzer auf dem TT Server gefunden werden.
This will delete all safety cameras (including licenses) from your device's internal memory. Do you wish to continue?,Dies wird alle Blitzer (und Freischaltcodes) vom internen Speicher löschen. Willst Du fortfahren?
The safety cameras have been removed from the device's internal memory.,Die Blitzer wurden vom internen Speicher gelöscht.
For NAV3 and navcore 9.x devices (no cspeech),Für navcore 9.x Geräte (kein cspeech)
The device is currently busy. Please try again in a few moments.,Das Gerät ist derzeit beschäftigt. Bitte versuchen Sie es in wenigen Augenblicken erneut.
TTActivator was unable to find a meta code on the device that matched the details you provided.,"TTActivator konnte auf dem Gerät keinen Metacode finden, der mit den von Ihnen angegebenen Details übereinstimmt."
